temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,prophet,interval,prophet_start,prophet_end
Aba Nigeria Temple,2,2,1,11500,6.3,70,15,85,192.2,1,Attached,Yes,2000-04-02,2002-02-23,2005-08-07,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Abidjan Ivory Coast Temple,NA,NA,NA,NA,0.55,NA,NA,NA,173.1,1,Attached,Yes,2015-04-05,2018-11-08,NA,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Accra Ghana Temple,2,2,1,17500,6,69,27,96,131.8,1,Attached,Yes,1998-02-16,2001-11-16,2004-01-11,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Adelaide Australia Temple,2,2,1,10700,6.94,3,1,4,137.7,1,Attached,Yes,1999-03-17,1999-05-29,2000-06-15,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Alabang Philippines Temple,NA,NA,NA,NA,2.6,NA,NA,NA,57.5,1,Attached,No,2017-04-02,2020-06-04,NA,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Albuquerque New Mexico Temple,2,3,1,34245,8.5,14,0,14,NA,1,Attached,Yes,1997-04-04,1998-06-20,2000-03-05,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Anchorage Alaska Temple,2,1,1,11937,5.4,9,0,9,205.1,1,Attached,Yes,1997-10-04,1998-04-17,1999-01-09,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Antofagasta Chile Temple,NA,NA,NA,23000,1.9,NA,NA,NA,66.5,1,Attached,No,2019-04-07,2020-11-27,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Apia Samoa Temple,2,2,1,18691,2,25,0,25,36.6,1,Attached,Yes,1977-10-15,1981-02-19,1983-08-05,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Arequipa Peru Temple,2,2,1,26969,7.91,21,5,26,NA,1,Attached,Yes,2012-10-06,2017-03-04,2019-12-15,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Asunción Paraguay Temple,2,2,1,11906,1.13,16,15,31,356.3,1,Attached,Yes,2000-04-02,2001-02-03,2002-05-19,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Atlanta Georgia Temple,4,4,1,34500,9.6,17,0,17,NA,1,Attached,Yes,1980-04-02,1981-03-07,1983-06-01,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Auckland New Zealand Temple,4,3,1,NA,NA,NA,NA,NA,196.9,1,Attached,No,2018-10-07,2020-06-13,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Austin Texas Temple,2,2,1,30000,10.6,NA,NA,NA,897.6,1,Attached,No,2022-04-03,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Bacolod Philippines Temple,2,2,1,26700,12.3,NA,NA,NA,93.1,1,Attached,No,2019-10-05,2021-12-11,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Bahía Blanca Argentina Temple,2,2,1,19000,8.14,NA,NA,NA,134.1,1,Attached,No,2020-04-05,2022-04-09,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Bakersfield California Temple,2,2,1,30000,13.07,NA,NA,NA,366,NA,NA,NA,2023-04-02,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Bangkok Thailand Temple,NA,NA,NA,48525,1.77,13,21,34,12,9,Attached,No,2015-04-05,2019-01-26,2023-10-22,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Barcelona Spain Temple,2,2,1,27500,5.4,NA,NA,NA,573,NA,NA,NA,2022-04-03,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Barranquilla Colombia Temple,2,1,1,25349,5.93,7,2,9,174.1,1,Attached,Yes,2011-10-01,2016-02-20,2018-12-09,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Baton Rouge Louisiana Temple,2,2,1,10890,6.3,9,0,9,18,1,Attached,Yes,1998-10-14,1999-05-08,2000-07-16,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Belém Brazil Temple,2,2,1,28675,6.7,10,2,12,39.9,1,Attached,Yes,2016-04-03,2019-08-17,2022-11-20,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Belo Horizonte Brazil Temple,2,2,1,27000,11.8,NA,NA,NA,NA,1,Attached,No,2021-04-04,2023-06-17,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Bengaluru India Temple,NA,NA,NA,38670,1.62,NA,NA,NA,NA,5,Attached,No,2018-04-01,2020-12-02,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Benin City Nigeria Temple,2,2,1,30700,2.17,NA,NA,NA,258.2,NA,NA,NA,2020-04-05,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Bentonville Arkansas Temple,2,2,1,28472,18.62,8,0,8,NA,1,Attached,No,2019-10-05,2020-11-07,2023-09-17,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Bern Switzerland Temple,4,7,1,35546,7,8,1,9,NA,1,Attached,Yes,1952-07-01,1953-08-05,1955-09-11,David O. McKay,1951-04-09 UTC--1970-01-18 UTC,1951-04-09T00:00:00Z,1970-01-18T00:00:00Z
Billings Montana Temple,2,3,1,33800,10,10,0,10,NA,1,Attached,Yes,1996-08-30,1998-03-30,1999-11-20,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Birmingham Alabama Temple,2,2,1,10700,5.6,10,0,10,662,1,Attached,Yes,1998-09-11,1999-10-09,2000-09-03,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Bismarck North Dakota Temple,2,2,1,10700,1.6,4,0,4,NA,1,Attached,Yes,1998-07-29,1998-10-17,1999-09-19,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Bogotá Colombia Temple,4,3,1,53500,3.71,22,7,29,NA,1,Attached,Yes,1984-04-07,1993-06-26,1999-04-24,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Boise Idaho Temple,4,4,1,35868,4.83,16,0,16,NA,6,Detached,Yes,1982-03-31,1982-12-18,1984-05-25,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Boston Massachusetts Temple,4,4,1,69600,8,13,0,13,331.2,1,Attached,Yes,1995-09-30,1997-06-13,2000-10-01,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Bountiful Utah Temple,4,8,1,104000,9,51,0,51,NA,1,Attached,Yes,1990-02-02,1992-05-02,1995-01-08,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
Brasília Brazil Temple,2,2,1,25000,6,14,3,17,NA,1,Attached,No,2017-04-02,2020-09-26,2023-09-17,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Brigham City Utah Temple,2,3,1,36000,3.14,13,0,13,NA,2,Attached,Yes,2009-10-03,2010-07-31,2012-09-23,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Brisbane Australia Temple,2,2,1,10700,0.86,12,1,13,76.5,1,Attached,Yes,1998-07-20,2001-05-26,2003-06-15,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Budapest Hungary Temple,NA,NA,NA,18000,5.92,NA,NA,NA,474.3,NA,NA,NA,2019-04-07,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Buenos Aires Argentina Temple,4,3,1,30659,3.73,47,12,59,42.9,6,Detached,Yes,1980-04-02,1983-04-20,1986-01-17,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Burley Idaho Temple,4,3,1,38600,10.1,NA,NA,NA,NA,1,Attached,No,2021-04-04,2022-06-04,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Calgary Alberta Temple,2,3,1,33000,10.17,8,0,8,NA,1,Attached,Yes,2008-10-04,2010-05-15,2012-10-28,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Cali Colombia Temple,1,1,1,9500,3.14,NA,NA,NA,NA,1,Attached,No,2021-04-04,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Campinas Brazil Temple,4,3,1,48100,6.18,53,14,67,NA,1,Attached,Yes,1997-04-03,1998-05-01,2002-05-17,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Cape Town South Africa Temple,1,1,1,9500,3.79,NA,NA,NA,27.9,1,Attached,No,2021-04-04,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Caracas Venezuela Temple,2,2,1,15332,0.5,33,6,39,NA,1,Attached,Yes,1995-09-30,1999-01-10,2000-08-20,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Cardston Alberta Temple,4,5,1,88562,10,13,0,13,NA,1,Attached,No,1913-06-27,1913-11-09,1923-08-26,Joseph F. Smith,1901-10-17 UTC--1918-11-19 UTC,1901-10-17T00:00:00Z,1918-11-19T00:00:00Z
Casper Wyoming Temple,1,1,1,10000,9.5,NA,NA,NA,NA,1,Attached,No,2021-04-04,2021-10-09,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Cebu City Philippines Temple,2,2,1,29556,11.6,41,30,71,194.8,1,Attached,Yes,2006-04-18,2007-11-14,2010-06-13,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Cedar City Utah Temple,2,3,1,42657,9.5,17,0,17,NA,1,Attached,Yes,2013-04-06,2015-08-08,2017-12-10,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Charlotte North Carolina Temple,NA,NA,NA,30000,5.9,NA,NA,NA,705.3,NA,NA,NA,2023-04-02,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Chicago Illinois Temple,5,3,1,37062,13,13,0,13,685.4,6,Detached,Yes,1981-04-01,1983-08-13,1985-08-09,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Ciudad Juárez Mexico Temple,2,2,1,10700,1.64,12,0,12,NA,1,Attached,Yes,1998-05-07,1999-01-09,2000-02-26,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Cleveland Ohio Temple,1,1,1,9900,NA,NA,NA,NA,733,NA,NA,NA,2022-04-03,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Cobán Guatemala Temple,1,1,1,8800,5.4,NA,NA,NA,NA,1,Attached,No,2019-10-05,2020-11-14,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Cochabamba Bolivia Temple,2,3,1,33302,6.67,33,8,41,NA,5,Attached,Yes,1995-01-13,1996-11-10,2000-04-30,Howard W. Hunter,1994-06-05 UTC--1995-03-03 UTC,1994-06-05T00:00:00Z,1995-03-03T00:00:00Z
