temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,temple_urls,temple_address,lat,long,prophet,interval,prophet_start,prophet_end,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate,guess_country,missing_state,first_word,lat_general,long_general,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID
Aba Nigeria Temple,2,2,1,11500,6.3,70,15,85,192.2,1,Attached,Yes,2000-04-02,2002-02-23,2005-08-07,https://churchofjesuschristtemples.org/aba-nigeria-temple,"72-80 Okpu-Umuobo Rd, Aba, Abia State, Nigeria",5.16667,7.35,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Aba, Abia, Nigeria",OPERATING,7 August 2005,43202,aba-nigeria-temple,Aba,Abia,Nigeria,"August 7, 2005",NA,FALSE,Aba Nigeria ,5.1128008,7.3651376,NA,NA,NA,NA,NA
Abidjan Ivory Coast Temple,NA,NA,NA,NA,0.55,NA,NA,NA,173.1,1,Attached,Yes,2015-04-05,2018-11-08,NA,https://churchofjesuschristtemples.org/abidjan-ivory-coast-temple,"1874 Boulevard de France, Abidjan, Cote d'Ivoire",5.335469769255,-4.011394197845,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Abidjan, Côte d'Ivoire",CONSTRUCTION,Construction,4069710,abidjan-ivory-coast-temple,Abidjan,,Ivory Coast,,NA,TRUE,Abidjan Ivory Coast ,5.320357,-4.016107,NA,NA,NA,NA,NA
Accra Ghana Temple,2,2,1,17500,6,69,27,96,131.8,1,Attached,Yes,1998-02-16,2001-11-16,2004-01-11,https://churchofjesuschristtemples.org/accra-ghana-temple,"57 Independence Ave, North Ridge, P.M.B. CT 209, Cantonments, Accra, Ghana",5.58123,-0.17572,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Accra, Greater Accra, Ghana",OPERATING,11 January 2004,36549,accra-ghana-temple,Accra,Greater Accra,Ghana,"January 11, 2004",NA,FALSE,Accra Ghana ,5.5571096,-0.2012376,NA,NA,NA,NA,NA
Adelaide Australia Temple,2,2,1,10700,6.94,3,1,4,137.7,1,Attached,Yes,1999-03-17,1999-05-29,2000-06-15,https://churchofjesuschristtemples.org/adelaide-australia-temple,"53-59 Lower Portrush Rd, Marden, South Australia 5070, Australia",-34.890555252736,138.634494784584,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Marden, South Australia, Australia",OPERATING,15 June 2000,38298,adelaide-australia-temple,Marden,South Australia,Australia,"June 15, 2000",NA,FALSE,Adelaide Australia ,-34.8925643,138.6347392,NA,NA,NA,NA,NA
Alabang Philippines Temple,NA,NA,NA,NA,2.6,NA,NA,NA,57.5,1,Attached,No,2017-04-02,2020-06-04,NA,https://churchofjesuschristtemples.org/alabang-philippines-temple,"Filinvest Avenue and Corporate Avenue, Alabang, Muntinlupa, Metro Manila, Philippines",14.412030020921,121.038870038948,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,Philippines,CONSTRUCTION,Construction,4098472,alabang-philippines-temple,Manila,,Philippines,,NA,TRUE,Alabang Philippines ,14.5906346,120.9799964,NA,NA,NA,NA,NA
Albuquerque New Mexico Temple,2,3,1,34245,8.5,14,0,14,NA,1,Attached,Yes,1997-04-04,1998-06-20,2000-03-05,https://churchofjesuschristtemples.org/albuquerque-new-mexico-temple,"10301 San Francisco Rd NE, Albuquerque, New Mexico 87122-3437, United States",35.167344010047,-106.524979987426,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Albuquerque, New Mexico, United States",OPERATING,5 March 2000,36550,albuquerque-new-mexico-temple,Albuquerque,New Mexico,United States,"March 5, 2000",NA,FALSE,Albuquerque  ,35.0841034,-106.650985,35,001,003730,3,350010037303
Anchorage Alaska Temple,2,1,1,11937,5.4,9,0,9,205.1,1,Attached,Yes,1997-10-04,1998-04-17,1999-01-09,https://churchofjesuschristtemples.org/anchorage-alaska-temple,"13161 Brayton Dr, Anchorage, Alaska 99516, United States",61.101678014315,-149.840494156741,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Anchorage, Alaska, United States",OPERATING,9 January 1999,36551,anchorage-alaska-temple,Anchorage,Alaska,United States,"January 9, 1999",NA,FALSE,Anchorage  ,61.2163129,-149.894852,02,020,002821,1,020200028211
Antofagasta Chile Temple,NA,NA,NA,23000,1.9,NA,NA,NA,66.5,1,Attached,No,2019-04-07,2020-11-27,NA,https://churchofjesuschristtemples.org/antofagasta-chile-temple,"Avenida de Las Palmeras 44, Antofagasta, Chile",-23.571547077692,-70.393799550996,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Antofagasta, Chile",CONSTRUCTION,Construction,4119596,antofagasta-chile-temple,Antofagasta,,Chile,,NA,TRUE,Antofagasta Chile ,-23.6463741,-70.3980033,NA,NA,NA,NA,NA
Apia Samoa Temple,2,2,1,18691,2,25,0,25,36.6,1,Attached,Yes,1977-10-15,1981-02-19,1983-08-05,https://churchofjesuschristtemples.org/apia-samoa-temple,"Vaitele Street, Pesega, Apia, Samoa",-13.839193475241,-171.764726881183,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z,"Apia, Pesega, Samoa",OPERATING,5 August 1983,28,apia-samoa-temple,Apia,Pesega,Samoa,"August 5, 1983",NA,FALSE,Apia Samoa ,NA,NA,NA,NA,NA,NA,NA
Arequipa Peru Temple,2,2,1,26969,7.91,21,5,26,NA,1,Attached,Yes,2012-10-06,2017-03-04,2019-12-15,https://churchofjesuschristtemples.org/arequipa-peru-temple,"Calle Cusco 380, Carmen Alto, Distrito De Cayma, Arequipa, Arequipa, Peru",-16.361404404326,-71.542618587105,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Arequipa, Peru",OPERATING,15 December 2019,4017570,arequipa-peru-temple,Arequipa,,Peru,"December 15, 2019",NA,TRUE,Arequipa Peru ,-16.3988667,-71.5369607,NA,NA,NA,NA,NA
