name,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate,guess_country,missing_state,first_word,lat,long
Laie Hawaii Temple,"Laie, Hawaii, United States",OPERATING,27 November 1919,1,laie-hawaii-temple,Laie,Hawaii,United States,"November 27, 1919",NA,FALSE,Laie  ,21.6438449,-157.924442
Johannesburg South Africa Temple,"Johannesburg, Gauteng, South Africa",OPERATING,24 August 1985,2,johannesburg-south-africa-temple,Johannesburg,Gauteng,South Africa,"August 24, 1985",NA,FALSE,Johannesburg South Africa ,-26.205,28.049722
Logan Utah Temple,"Logan, Utah, United States",OPERATING,17 May 1884,3,logan-utah-temple,Logan,Utah,United States,"May 17, 1884",NA,FALSE,Logan  ,41.7313063,-111.834914
Las Vegas Nevada Temple,"Las Vegas, Nevada, United States",OPERATING,16 December 1989,4,las-vegas-nevada-temple,Las Vegas,Nevada,United States,"December 16, 1989",NA,FALSE,Las Vegas  ,36.1672559,-115.148516
Mexico City Mexico Temple,"México, Distrito Federal, Mexico",OPERATING,2 December 1983,5,mexico-city-mexico-temple,México,Distrito Federal,Mexico,"December 2, 1983",NA,FALSE,Mexico City Mexico ,19.432713,-99.13316157323278
Ogden Utah Temple,"Ogden, Utah, United States",OPERATING,18 January 1972,6,ogden-utah-temple,Ogden,Utah,United States,"January 18, 1972",NA,FALSE,Ogden  ,41.2230048,-111.9738429
Orlando Florida Temple,"Windermere, Florida, United States",OPERATING,9 October 1994,7,orlando-florida-temple,Windermere,Florida,United States,"October 9, 1994",NA,FALSE,Orlando  ,28.4944695,-81.5345547
Provo Utah Temple,"Provo, Utah, United States",OPERATING,9 February 1972,8,provo-utah-temple,Provo,Utah,United States,"February 9, 1972",NA,FALSE,Provo  ,40.2337289,-111.6587085
Sydney Australia Temple,"Carlingford, New South Wales, Australia",OPERATING,20 September 1984,9,sydney-australia-temple,Carlingford,New South Wales,Australia,"September 20, 1984",NA,FALSE,Sydney Australia ,-33.7744947,151.0475215
St. George Utah Temple,"St. George, Utah, United States",RENOVATION,Renovation,10,st.-george-utah-temple,St. George,Utah,United States,,NA,FALSE,St. George  ,37.104153,-113.5841313
São Paulo Brazil Temple,"São Paulo, Sao Paulo, Brazil",OPERATING,30 October 1978,11,sao-paulo-brazil-temple,São Paulo,Sao Paulo,Brazil,"October 30, 1978",NA,FALSE,São Paulo Brazil ,-23.5506507,-46.6333824
Nuku'alofa Tonga Temple,"Liahona, Tongatapu, Tonga",OPERATING,9 August 1983,12,nuku'alofa-tonga-temple,Liahona,Tongatapu,Tonga,"August 9, 1983",NA,FALSE,Nuku'alofa Tonga ,NA,NA
Nashville Tennessee Temple,"Franklin, Tennessee, United States",OPERATING,21 May 2000,13,nashville-tennessee-temple,Franklin,Tennessee,United States,"May 21, 2000",NA,FALSE,Nashville  ,35.925206,-86.8689419
Papeete Tahiti Temple,"Papeete, Tahiti, French Polynesia",OPERATING,27 October 1983,14,papeete-tahiti-temple,Papeete,Tahiti,French Polynesia,"October 27, 1983",NA,FALSE,Papeete Tahiti ,NA,NA
Tokyo Japan Temple,"Minato-ku, Tokyo, Japan",OPERATING,27 October 1980,15,tokyo-japan-temple,Minato-ku,Tokyo,Japan,"October 27, 1980",NA,FALSE,Tokyo Japan ,35.6432274,139.7400553
